









Frequency of observations in the selected location(s).:
Number of taxa: 	190

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Lesser Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.07692307692307693	0.0	0.0	0.0625	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater/Lesser Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bonaparte's Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-billed Gull	0.5	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.1111111111111111	0.2727272727272727	0.3181818181818182	0.5909090909090909	0.5862068965517241	0.5	0.375	0.2	0.25	0.0	0.6	0.0	0.5	0.4	0.5	1.0	1.0	1.0	0.5714285714285714	0.5	0.6666666666666666	0.5	0.2	0.15384615384615385	0.0	0.6666666666666666	0.5625	0.2	0.2222222222222222	0.2222222222222222	0.3333333333333333	0.29411764705882354	0.25	0.2727272727272727	0.375	0.3333333333333333	0.0	0.5	0.0	
Herring Gull	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0015	0.13636363636363635	0.22727272727272727	0.2413793103448276	0.3181818181818182	0.3125	0.2	0.0	0.0	0.2	0.0	0.0	0.1	0.1	0.0	0.0	0.6666666666666666	0.0	0.25	0.3333333333333333	0.0	0.0	0.0	0.0	0.0015	0.0625	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.09090909090909091	0.25	0.3333333333333333	0.0	0.0	0.0	
Iceland Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Black-backed Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Black-backed Gull	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.09090909090909091	0.13636363636363635	0.13636363636363635	0.20689655172413793	0.18181818181818182	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.3	0.23076923076923078	0.0	0.3333333333333333	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.16666666666666666	0.0	0.5	0.0	
Larus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
gull sp.	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.06896551724137931	0.045454545454545456	0.0625	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.07692307692307693	0.5	0.0	0.0625	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Caspian Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2727272727272727	0.375	0.0	0.5	0.3333333333333333	0.0	0.0	0.5	0.4	0.2	0.625	0.0	0.6666666666666666	0.42857142857142855	0.75	0.3333333333333333	0.5	0.3	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.1	0.0	0.125	0.0	0.3333333333333333	0.14285714285714285	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sterna sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-throated Loon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Common Loon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	
Double-crested Cormorant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.09090909090909091	0.13793103448275862	0.3181818181818182	0.5	0.4	0.625	0.3333333333333333	0.2	0.0	0.0	0.5	0.4	0.5	0.0	1.0	0.7142857142857143	0.5	0.6666666666666666	0.0	0.3	0.3076923076923077	0.0	0.0	0.1875	0.0	0.2222222222222222	0.1111111111111111	0.26666666666666666	0.0	0.25	0.0	0.125	0.0	0.0	0.0	0.0	
American Bittern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Bittern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Blue Heron	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.36363636363636365	0.5454545454545454	0.6551724137931034	0.5454545454545454	0.6875	0.4	0.625	0.3333333333333333	0.6	0.0	0.5	0.3	0.8	0.625	1.0	1.0	0.8571428571428571	1.0	0.3333333333333333	1.0	0.9	1.0	1.0	0.6666666666666666	0.9375	1.0	0.6666666666666666	0.7777777777777778	0.7333333333333333	0.5294117647058824	0.25	0.36363636363636365	0.375	0.3333333333333333	0.0015	0.0	0.0015	
Great Egret	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.10344827586206896	0.4090909090909091	0.5	0.2	0.625	0.3333333333333333	0.2	0.0	0.0015	0.3	0.4	0.75	0.5	1.0	0.2857142857142857	0.75	0.3333333333333333	1.0	0.8	0.6153846153846154	0.75	0.6666666666666666	0.5	0.4	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green Heron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-crowned Night-Heron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Vulture	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Turkey Vulture	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.09090909090909091	0.2727272727272727	0.22727272727272727	0.27586206896551724	0.2727272727272727	0.25	0.2	0.5	0.3333333333333333	0.0	0.0	0.5	0.2	0.5	0.375	1.0	0.3333333333333333	0.14285714285714285	0.25	0.3333333333333333	0.5	0.2	0.23076923076923078	0.0	0.0015	0.375	0.3	0.2222222222222222	0.3333333333333333	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	
Osprey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.7727272727272727	0.9310344827586207	0.9090909090909091	1.0	0.6	0.75	1.0	0.4	0.0015	0.5	0.9	0.9	1.0	1.0	1.0	0.5714285714285714	0.75	1.0	1.0	0.6	0.6153846153846154	0.5	0.3333333333333333	0.0625	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Harrier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.045454545454545456	0.06896551724137931	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.3	0.38461538461538464	0.5	0.3333333333333333	0.125	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.5	0.0	
Sharp-shinned Hawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bald Eagle	0.5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.2222222222222222	0.09090909090909091	0.36363636363636365	0.1590909090909091	0.2413793103448276	0.09090909090909091	0.0625	0.2	0.25	0.3333333333333333	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.6666666666666666	0.14285714285714285	0.0	0.0	0.75	0.1	0.38461538461538464	0.25	0.3333333333333333	0.125	0.1	0.1111111111111111	0.0	0.13333333333333333	0.058823529411764705	0.08333333333333333	0.18181818181818182	0.125	0.3333333333333333	0.0015	0.0	1.0	
Red-shouldered Hawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Broad-winged Hawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-tailed Hawk	0.5	1.0	0.5	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.18181818181818182	0.22727272727272727	0.13636363636363635	0.2413793103448276	0.045454545454545456	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.1	0.0	0.0	0.0	0.125	0.1	0.0	0.0	0.0	0.11764705882352941	0.3333333333333333	0.09090909090909091	0.125	0.3333333333333333	0.0	0.5	1.0	
Rough-legged Hawk	0.75	1.0	0.0015	0.0015	0.0	0.0015	1.0	0.0	0.5	0.4444444444444444	0.18181818181818182	0.18181818181818182	0.06818181818181818	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0015	
Buteo sp.	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	
Great Horned Owl	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snowy Owl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.5	0.0	0.0	
Barred Owl	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Belted Kingfisher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.045454545454545456	0.1875	0.0	0.125	0.0	0.2	0.0	0.0	0.1	0.5	0.5	1.0	0.6666666666666666	0.2857142857142857	0.0	0.0015	0.75	0.4	0.38461538461538464	1.0	0.0	0.5	0.1	0.0	0.1111111111111111	0.0	0.17647058823529413	0.08333333333333333	0.09090909090909091	0.125	0.0	0.5	0.0	0.0	
Yellow-bellied Sapsucker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.2	0.0	0.0015	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-bellied Woodpecker	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.022727272727272728	0.0	0.045454545454545456	0.0	0.2	0.125	0.3333333333333333	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	
Downy Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.045454545454545456	0.09090909090909091	0.13793103448275862	0.22727272727272727	0.3125	0.6	0.125	0.0	0.4	0.0	0.5	0.1	0.4	0.625	0.5	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.25	0.0	0.0	0.2222222222222222	0.0	0.0	0.08333333333333333	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	
Hairy Woodpecker	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.09090909090909091	0.13636363636363635	0.09090909090909091	0.06896551724137931	0.0	0.0	0.0	0.125	0.3333333333333333	0.0015	0.0	0.0	0.1	0.2	0.25	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.2222222222222222	0.1111111111111111	0.06666666666666667	0.058823529411764705	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	
Downy/Hairy Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pileated Woodpecker	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.045454545454545456	0.06818181818181818	0.10344827586206896	0.0	0.0625	0.0	0.125	0.0015	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Flicker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.1875	0.2	0.0	0.0	0.0	0.0	0.5	0.2	0.1	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Kestrel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Merlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Peregrine Falcon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Wood-Pewee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	1.0	0.1	0.4	0.375	0.5	0.6666666666666666	0.14285714285714285	0.0	0.0	0.25	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Flycatcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.5	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Empidonax sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Phoebe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.18181818181818182	0.375	0.0	0.125	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.5	0.3333333333333333	0.0	0.0	0.0	0.25	0.1	0.15384615384615385	0.0	0.6666666666666666	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Crested Flycatcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.6	0.0	0.5	0.0	0.2	0.25	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Kingbird	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.3333333333333333	0.4	0.0	0.5	0.1	0.0	0.125	1.0	0.3333333333333333	0.14285714285714285	0.0	0.3333333333333333	0.25	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shrike	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-throated Vireo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.2	0.0	0.5	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-headed Vireo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.5	0.0	0.1	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Warbling Vireo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.375	0.6666666666666666	0.8	0.0	1.0	0.5	0.5	0.375	0.5	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-eyed Vireo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.5	0.0	0.4	0.375	1.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue Jay	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.18181818181818182	0.045454545454545456	0.06818181818181818	0.034482758620689655	0.0	0.0015	0.2	0.25	0.0015	0.0015	0.0	0.0	0.0	0.2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.5	0.0	0.3125	0.1	0.1111111111111111	0.1111111111111111	0.13333333333333333	0.29411764705882354	0.25	0.09090909090909091	0.0	0.16666666666666666	0.0	0.0	0.0	
American Crow	0.75	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.2727272727272727	0.22727272727272727	0.45454545454545453	0.3793103448275862	0.36363636363636365	0.25	0.0	0.5	0.0	0.2	0.0	0.5	0.2	0.3	0.25	0.5	1.0	0.14285714285714285	0.0015	0.3333333333333333	0.25	0.3	0.15384615384615385	0.25	0.0	0.0625	0.2	0.1111111111111111	0.2222222222222222	0.2	0.17647058823529413	0.3333333333333333	0.18181818181818182	0.0	0.3333333333333333	0.0	1.0	0.0	
